conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,



1,192.168.2.3,den03s10-in-f49.1e100.net,51027,443,1492060383.312199 , 1492060383.513659 ,             11,              9,              0,              0,             10,              9,              7,              2,              3,              0,              1,              0,              1,              0,            930,           3708,              3,              6,            930,           3983,              0,              1,              0,            275,              0,              0,              0,              0,              0,              1,              3,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              7,              Y,              Y,              3,              0,              0,              0,              0,              0,           1460,           1380,            636,           1374,            126,            262,            309,            663,          95872,          44800,          87616,          43520,              0,              0,          90368,          43840,            168,           3023,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.103,          0.147,           89.1,           83.0,              0,              0,           4616,          18406,

2,192.168.2.3,den03s10-in-f49.1e100.net,56749,443,1492060383.312313 , 1492060383.533388 ,             11,              9,              0,              0,             10,              9,              7,              2,              3,              0,              1,              0,              1,              0,            873,           4275,              3,              6,            873,           4550,              0,              1,              0,            275,              0,              0,              0,              0,              0,              1,              3,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              7,              Y,              Y,              3,              0,              0,              0,              0,              0,           1460,           1380,            579,           1374,            126,            262,            290,            758,          95872,          44672,          87616,          43520,              0,              0,          90368,          43808,            168,           3023,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.105,          0.163,          103.9,           81.9,              0,              0,           3949,          19337,

3,192.168.2.3,den03s10-in-f49.1e100.net,58295,443,1492060383.324159 , 1492060383.494166 ,             15,             10,              0,              0,             14,             10,              6,              3,              0,              0,              0,              0,              0,              0,           3589,           4017,              7,              5,           3589,           4017,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              5,              3,            1/1,            1/1,            Y/Y,            Y/Y,              6,              7,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1380,           1368,           1374,             31,             51,            512,            803,          98624,          50816,          87616,          43520,              0,              0,          94692,          46378,            171,           3657,              1,              3,           3589,           4017,              0,              0,              0,              0,              0,              0,          0.157,          0.147,           90.6,           97.8,              0,              0,          21111,          23628,

4,192.168.2.3,den03s10-in-f49.1e100.net,48496,443,1492060383.413036 , 1492060383.564652 ,              7,              6,              0,              0,              6,              6,              3,              3,              0,              0,              0,              0,              0,              0,           1204,            585,              3,              2,           1204,            585,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              2,            1/0,            1/0,            Y/Y,            Y/Y,              6,              7,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1380,            636,            423,             51,            162,            401,            292,          88704,          44800,          87616,          43520,              0,              0,          87797,          44032,            517,            162,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.052,          0.098,           92.0,           46.2,              0,              0,           7941,           3858,

