#1 arg remaining, starting with './Data/Raw/Snapchat/Snapchat02.pcapng'
#Ostermann's tcptrace -- version 6.6.7 -- Thu Nov  4, 2004

#61 packets seen, 61 TCP packets traced
#elapsed wallclock time: 0:00:00.047965, 1271 pkts/sec analyzed
#trace file elapsed time: 0:00:01.859644
#TCP connection info:
#5 TCP connections traced:
conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,

1,192.168.2.3,den03s10-in-f17.1e100.net,58671,443,1492059446.896819 , 1492059447.399942 ,             11,             10,              0,              0,             10,             10,              7,              2,              4,              0,              2,              0,              2,              0,            873,           4337,              3,              7,            873,           5986,              0,              2,              0,           1649,              0,              0,              0,              0,              0,              2,              3,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              7,              Y,              Y,              4,              0,              0,              0,              0,              0,           1460,           1380,            579,           1374,            126,            262,            290,            855,          98624,          44672,          87616,          43520,              0,              0,          91468,          43776,            168,           1649,              1,              2,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.364,          0.337,         1356.5,         1394.1,              0,              0,           1735,           8620,
2,192.168.2.3,den03s10-in-f17.1e100.net,40810,443,1492059446.899117 , 1492059447.131750 ,             11,              9,              0,              0,             10,              9,              7,              2,              3,              0,              1,              0,              1,              0,            934,           3708,              3,              6,            934,           5082,              0,              1,              0,           1374,              0,              0,              0,              0,              0,              1,              3,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              7,              Y,              Y,              3,              0,              0,              0,              0,              0,           1460,           1380,            640,           1374,            126,            262,            311,            846,          95872,          44800,          87616,          43520,              0,              0,          90368,          43840,            168,           3023,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.121,          0.175,         1624.7,         1661.8,              0,              0,           4015,          15939,
3,192.168.2.3,den03s10-in-f17.1e100.net,40581,443,1492059446.981007 , 1492059447.149852 ,              9,              7,              0,              0,              8,              7,              5,              1,              2,              0,              0,              0,              1,              0,            934,           3710,              3,              5,            934,           3710,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              3,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              7,              Y,              Y,              2,              0,              0,              0,              0,              0,           1460,           1380,            640,           1374,            126,            262,            311,            741,          95872,          44800,          87616,          43520,              0,              0,          90024,          43733,            168,           3023,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.043,          0.080,         1606.6,         1641.0,              0,              0,           5532,          21973,
4,ec2-52-200-144-136.compute-1.amazonaws.com,192.168.2.3,443,44848,1492059447.719870 , 1492059447.832489 ,              1,              1,              0,              0,              1,              1,              0,              1,              0,              0,              0,              0,              0,              0,             31,              0,              1,              0,             31,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              0,            0/0,            0/0,            N/Y,            N/Y,              0,              0,              N,              N,              0,              0,              0,              0,              0,              0,              0,              0,             31,              0,             31,              0,             30,              0,             49,           1527,             49,           1527,              0,              0,             49,           1527,             31,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,         1036.6,          924.0,              0,              0,            275,              0,
5,ec2-52-200-144-136.compute-1.amazonaws.com,192.168.2.3,443,36002,1492059448.721265 , 1492059448.756463 ,              1,              1,              0,              0,              1,              1,              0,              1,              0,              0,              0,              0,              0,              0,             31,              0,              1,              0,             31,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              0,            0/0,            0/0,            N/Y,            N/Y,              0,              0,              N,              N,              0,              0,              0,              0,              0,              0,              0,              0,             31,              0,             31,              0,             30,              0,             53,           1559,             53,           1559,              0,              0,             53,           1559,             31,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,           35.2,            0.0,              0,              0,            881,              0,
