conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,

1,192.168.2.3,ec2-54-235-98-38.compute-1.amazonaws.com,41686,443,1494126616.378825 , 1494126616.855919 ,             12,             10,              0,              0,             11,             10,              8,              2,              0,              0,              0,              0,              0,              0,           1593,           6089,              3,              7,           1593,           6089,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1284,           1448,            126,             51,            530,            869,          99200,          33792,          87616,          15872,              0,              0,          95517,          19854,            183,           5869,              1,              5,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.295,          0.279,         3139.7,         3175.2,              0,              0,           3339,          12763,
2,192.168.2.3,edge-star-shv-01-dft4.facebook.com,43032,443,1494126616.571586 , 1494126616.995979 ,             10,              8,              0,              0,              9,              8,              6,              2,              0,              0,              0,              0,              0,              0,            798,           4809,              3,              5,            798,           4809,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1410,            488,           1398,            126,            258,            265,            961,         101632,          30208,          87616,          29184,              0,              0,          94464,          29476,            184,           1398,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.133,          0.302,         2999.6,         3040.2,              0,              0,           1880,          11331,
3,192.168.2.3,ash2-weblb-wg6.ash2.spotify.com,39848,443,1494126617.512668 , 1494126618.125932 ,             10,             10,              0,              0,              9,             10,              5,              3,              0,              0,              0,              0,              0,              0,            906,           4772,              4,              6,            906,           4772,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              7,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            310,           1448,            126,             26,            226,            795,         102080,          32256,          87616,          30080,              0,              0,          93738,          30791,            187,           2896,              1,              2,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.358,          0.413,         1869.7,         1907.8,              0,              0,           1477,           7781,
4,192.168.2.3,178.162.216.177,48231,443,1494126617.521994 , 1494126618.378688 ,             12,             10,              2,              2,              9,              8,              4,              0,              0,              0,              0,              0,              0,              0,           1470,           4027,              4,              6,           1470,           4027,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              4,            1/1,            1/1,            Y/Y,            Y/Y,              6,             10,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1133,           1448,             31,             31,            367,            671,          99200,          32768,          87616,          30720,              0,              0,          77218,          24576,            180,           1448,              1,              1,           1439,           3996,18446744073709551585,18446744073709551585,              0,              0,              0,              0,          0.520,          0.376,          165.4,          189.1,              0,              0,           1716,           4701,
5,192.168.2.3,a96-17-211-37.deploy.akamaitechnologies.com,47225,443,1494126617.601768 , 1494126617.932921 ,             12,             11,              1,              2,             10,              9,              5,              1,              0,              0,              0,              0,              0,              0,           1448,           5532,              4,              7,           1448,           5532,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              5,            1/1,            1/1,            Y/Y,            Y/Y,              6,              5,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1101,           1448,             31,             31,            361,            790,          99200,          32928,          87616,          30048,              0,              0,          86498,          24614,            190,           4096,              1,              3,           1417,           5501,18446744073709551585,18446744073709551585,              0,              0,              0,              0,          0.198,          0.158,           66.1,           77.3,              0,              0,           4373,          16705,
6,192.168.2.3,178.162.216.177,52196,443,1494126618.216827 , 1494126619.110417 ,              8,              8,              1,              1,              7,              7,              2,              2,              0,              0,              0,              0,              0,              0,           1783,            403,              4,              3,           1783,            403,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              3,            1/0,            1/1,            Y/Y,            Y/Y,              6,             10,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1184,            235,             31,             31,            445,            134,          88704,          32768,          87616,          30720,              0,              0,          75254,          27501,            517,            137,              1,              1,             NA,            404,             NA,              1,              0,              0,              0,              0,          0.559,          0.395,          226.1,          226.0,              0,              0,           1995,            451,
7,192.168.2.3,178.162.216.177,50780,443,1494126619.114838 , 1494126619.995605 ,             10,              9,              2,              2,              7,              7,              2,              2,              0,              0,              0,              0,              0,              0,           1768,            403,              4,              3,           1768,            403,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              3,            1/1,            1/1,            Y/Y,            Y/Y,              6,             10,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1169,            235,             31,             31,            441,            134,          88704,          32768,          87616,          30720,              0,              0,          68387,          24064,            517,            137,              1,              1,           1737,            372,18446744073709551585,18446744073709551585,              0,              0,              0,              0,          0.529,          0.381,          208.9,          212.1,              0,              0,           2007,            458,
