conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,

1,192.168.2.3,edge-star-shv-01-dft4.facebook.com,36515,443,1492100614.354922 , 1492100617.800205 ,             12,             10,              0,              0,             11,             10,              8,              2,              2,              0,              2,              0,              1,              0,            798,           4809,              3,              7,            798,           6564,              0,              2,              0,           1755,              0,              0,              0,              0,              0,              0,              3,              5,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              2,              0,              0,              0,              0,              0,           1460,           1410,            488,           1398,            126,            258,            265,            937,         101632,          30208,          87616,          29184,              0,              0,          95255,          29525,            184,           3494,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          1.825,          1.854,         1297.4,          851.5,              0,              0,            232,           1396,
2,192.168.2.3,47.127.154.104.bc.googleusercontent.com,36791,443,1492100615.170372 , 1492100618.151096 ,              9,              7,              0,              0,              8,              7,              5,              1,              0,              0,              0,              0,              0,              0,            623,           4213,              3,              5,            623,           4213,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              7,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1240,            310,           1228,            126,            274,            207,            842,          97472,          26752,          87616,          25728,              0,              0,          92848,          25898,            187,           2922,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          1.349,          1.726,          862.4,          965.6,              0,              0,            209,           1413,
3,192.168.2.3,178.162.219.58,55918,443,1492100615.172677 , 1492100618.172592 ,             10,              8,              0,              0,              9,              8,              5,              0,              0,              0,              0,              0,              0,              0,           1470,           4027,              4,              6,           1470,           4027,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              4,            1/0,            1/1,            Y/Y,            Y/Y,              6,             10,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1133,           1448,             31,             31,            367,            671,          99200,          32768,          87616,          30720,              0,              0,          94378,          31597,            180,           3519,              1,              3,             NA,           4027,             NA,              0,              0,              0,              0,              0,          2.214,          1.600,          814.1,          884.8,              0,              0,            490,           1342,
4,192.168.2.3,a96-17-211-37.deploy.akamaitechnologies.com,60227,443,1492100615.347287 , 1492100618.154187 ,             15,             11,              1,              0,             14,             11,              9,              1,              1,              0,              1,              0,              1,              0,           1449,           5532,              4,              8,           1449,           5774,              0,              1,              0,            242,              0,              0,              0,              0,              0,              0,              4,              6,            1/0,            1/1,            Y/Y,            Y/Y,              6,              5,              Y,              Y,              1,              0,              0,              0,              0,              0,           1460,           1460,           1102,           1448,             31,             31,            362,            721,          99200,          32928,          87616,          30048,              0,              0,          89220,          30912,            190,           4926,              1,              4,             NA,           5532,             NA,              0,              0,              0,              0,              0,          2.036,          1.600,          769.7,          770.8,              0,              0,            516,           1971,
5,192.168.2.3,47.127.154.104.bc.googleusercontent.com,35659,443,1492100618.136347 , 1492100618.136347 ,              1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,            1/0,            0/0,            Y/Y,            N/N,              6,              0,              Y,              N,              0,              0,              0,              0,              0,              0,           1460,              0,              0,              0,              0,              0,              0,              0,          65535,              0,          65535,              0,              0,              0,          65535,              0,              0,              0,              0,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,           36.2,             NA,              0,              0,             NA,             NA,
