conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,

1,192.168.2.3,edge-star-shv-02-dft4.facebook.com,42857,443,1494126123.921502 , 1494126124.367528 ,             10,              8,              0,              0,              9,              8,              6,              2,              0,              0,              0,              0,              0,              0,            798,           4809,              3,              5,            798,           4809,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1410,            488,           1398,            126,            258,            265,            961,         101632,          30208,          87616,          29184,              0,              0,          94464,          29476,            184,           1398,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.141,          0.304,         2974.2,         3015.6,              0,              0,           1789,          10782,
2,192.168.2.3,47.127.154.104.bc.googleusercontent.com,39585,443,1494126125.453929 , 1494126125.795543 ,             11,              8,              0,              0,             10,              8,              6,              1,              0,              0,              0,              0,              0,              0,            906,           4772,              4,              6,            906,           4772,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              7,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1240,            310,           1228,            126,            274,            226,            795,         102336,          27776,          87616,          25728,              0,              0,          94502,          26166,            187,           2922,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.202,          0.199,         1546.2,         1582.3,              0,              0,           2652,          13969,
3,192.168.2.3,178.162.216.177,49406,443,1494126125.490104 , 1494126126.423328 ,             10,              9,              1,              1,              9,              8,              4,              0,              0,              0,              0,              0,              0,              0,           1392,           4027,              4,              6,           1392,           4027,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              4,            1/0,            1/1,            Y/Y,            Y/Y,              6,             10,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1055,           1448,             31,             31,            347,            671,          99200,          32768,          87616,          30720,              0,              0,          83356,          27648,            180,           1448,              1,              1,             NA,           4027,             NA,              0,              0,              0,              0,              0,          0.509,          0.350,          165.0,          259.6,              0,              0,           1492,           4315,
4,192.168.2.3,a23-48-108-62.deploy.static.akamaitechnologies.com,54052,443,1494126125.510682 , 1494126125.756118 ,             14,             12,              2,              2,             11,             10,              6,              1,              0,              0,              0,              0,              0,              0,           1458,           5532,              4,              7,           1458,           5532,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              5,            1/1,            1/1,            Y/Y,            Y/Y,              6,              5,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1111,           1448,             31,             31,            364,            790,          99200,          32928,          87616,          30048,              0,              0,          80822,          25370,            190,           4096,              1,              3,           1427,           5501,18446744073709551585,18446744073709551585,              0,              0,              0,              0,          0.150,          0.126,           50.3,           69.6,              0,              0,           5940,          22539,
5,192.168.2.3,178.162.216.177,48624,443,1494126126.221489 , 1494126127.155534 ,             10,              9,              2,              2,              7,              7,              2,              2,              0,              0,              0,              0,              0,              0,           1740,            403,              4,              3,           1740,            403,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              3,            1/1,            1/1,            Y/Y,            Y/Y,              6,             10,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1141,            235,             31,             31,            434,            134,          88704,          32768,          87616,          30720,              0,              0,          68387,          24064,            517,            137,              1,              1,           1709,            372,18446744073709551585,18446744073709551585,              0,              0,              0,              0,          0.561,          0.409,          240.5,          230.8,              0,              0,           1863,            431,
6,192.168.2.3,178.162.216.177,58291,443,1494126127.20537 , 1494126127.341748 ,              5,              2,              0,              0,              4,              2,              2,              0,              0,              0,              0,              0,              0,              0,            568,            137,              2,              1,            568,            137,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              2,              1,            1/0,            1/0,            Y/Y,            Y/Y,              6,             10,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            517,            137,             51,            137,            283,            136,          87616,          30720,          87616,          30720,              0,              0,          87616,          30720,            517,            137,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.152,          0.000,          164.2,          154.5,              0,              0,           1768,            427,
