#1 arg remaining, starting with './Data/Raw/Venmo/Venmo20.pcapng'
#Ostermann's tcptrace -- version 6.6.7 -- Thu Nov  4, 2004

#160 packets seen, 153 TCP packets traced
#elapsed wallclock time: 0:00:00.061986, 2581 pkts/sec analyzed
#trace file elapsed time: 0:00:04.085367
#TCP connection info:
#9 TCP connections traced:
conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,

1,192.168.2.3,ec2-174-129-204-117.compute-1.amazonaws.com,53831,443,1492102704.389917 , 1492102706.308263 ,             12,              9,              0,              0,             11,              9,              8,              1,              0,              0,              0,              0,              0,              0,           1244,           7172,              3,              7,           1244,           7172,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            928,           1448,            126,             51,            414,           1024,         102080,          32256,          87616,          30464,              0,              0,          95778,          30688,            190,           4096,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.880,          1.073,         2130.6,         2170.3,              0,              0,            648,           3739,
2,192.168.2.3,api.braintreegateway.com,54956,443,1492102704.619129 , 1492102706.18167 ,             10,              6,              0,              0,              9,              6,              6,              0,              0,              0,              0,              0,              0,              0,            652,           4590,              3,              5,            652,           4590,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              6,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1320,            336,           1448,            126,            258,            217,            917,         102080,          16640,          87616,          15552,              0,              0,          94698,          15769,            190,           2896,              1,              2,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.648,          0.802,         2420.7,         2460.5,              0,              0,            466,           3281,
3,192.168.2.3,edge-star-shv-01-dft4.facebook.com,50493,443,1492102704.791899 , 1492102708.425904 ,             12,             10,              0,              0,             11,             10,              7,              3,              1,              0,              1,              0,              1,              0,           1042,           4807,              4,              6,           1042,           5065,              0,              1,              0,            258,              0,              0,              0,              0,              0,              0,              4,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              1,              0,              0,              0,              0,              0,           1460,           1410,            488,           1398,            126,            258,            260,            844,         101632,          31232,          87616,          29184,              0,              0,          95511,          29639,            184,           3493,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          2.658,          1.042,         1480.9,         2180.7,              0,              0,            287,           1323,
4,192.168.2.3,server-54-230-7-33.dfw3.r.cloudfront.net,59163,443,1492102704.792185 , 1492102706.231964 ,             12,              9,              0,              0,             11,              9,              8,              1,              1,              0,              1,              0,              1,              0,            721,           5209,              3,              7,            721,           5451,              0,              1,              0,            242,              0,              0,              0,              0,              0,              0,              3,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              1,              0,              0,              0,              0,              0,           1460,           1460,            408,           1448,            126,            201,            240,            778,         102080,          31232,          87616,          30208,              0,              0,          95778,          30336,            187,           4545,              1,              4,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.645,          1.027,         2206.9,         2207.8,              0,              0,            501,           3618,
5,192.168.2.3,ec2-34-205-162-71.compute-1.amazonaws.com,60713,443,1492102705.172694 , 1492102707.468351 ,             13,             13,              0,              0,             12,             13,              9,              2,              0,              0,              0,              0,              0,              0,            594,          11327,              3,             10,            594,          11327,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            300,           1448,            126,             51,            197,           1132,         110784,          29184,          87616,          28160,              0,              0,          98240,          28672,            168,           1448,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          1.059,          1.513,          970.5,         1008.1,              0,              0,            259,           4934,
6,192.168.2.3,edge-star-shv-01-dft4.facebook.com,44872,443,1492102705.870000 , 1492102708.144646 ,              6,              4,              0,              0,              5,              4,              2,              2,              0,              0,              0,              0,              0,              0,            814,            152,              3,              1,            814,            152,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              1,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1410,            517,            152,             51,            152,            271,            151,          87616,          29184,          87616,          29184,              0,              0,          87616,          29184,            517,            152,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          1.751,          0.000,          899.8,          895.1,              0,              0,            358,             67,
7,192.168.2.3,edge-star-shv-01-dft4.facebook.com,52917,443,1492102705.871387 , 1492102708.170404 ,              6,              4,              0,              0,              5,              4,              2,              2,              0,              0,              0,              0,              0,              0,            813,            152,              3,              1,            813,            152,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              1,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1410,            517,            152,             51,            152,            270,            151,          87616,          29184,          87616,          29184,              0,              0,          87616,          29184,            517,            152,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          1.776,          0.000,          899.6,          920.7,              0,              0,            354,             66,
8,192.168.2.3,ec2-54-225-130-79.compute-1.amazonaws.com,50807,443,1492102706.298052 , 1492102708.438871 ,             13,             10,              0,              0,             11,             10,              8,              1,              2,              0,              2,              0,              1,              0,           1545,           5920,              3,              6,           1545,           5920,              1,              2,              1,              2,              0,              0,              0,              0,              0,              0,              3,              3,            2/0,            3/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              2,              0,              0,              0,              0,              0,           1460,           1460,           1236,           1448,            126,             51,            514,            986,          99200,          19200,          87616,          19200,              0,              0,          93410,          19200,            183,           1448,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          1.144,          0.286,          994.1,          856.7,              0,              0,            722,           2765,
9,192.168.2.3,den02s01-in-f20.1e100.net,36969,443,1492102707.727033 , 1492102708.425882 ,              3,              1,              0,              0,              2,              1,              1,              0,              0,              0,              0,              0,              0,              0,            187,              0,              1,              0,            187,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              0,            1/0,            1/0,            Y/Y,            Y/Y,              6,              7,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1380,            187,              0,            187,              0,            186,              0,          87616,          42408,          87616,          42408,              0,              0,          58410,          42408,            187,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,          698.2,           14.6,              0,              0,            268,              0,
