conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,

1,192.168.2.3,server-54-230-7-74.dfw3.r.cloudfront.net,33311,443,1492102802.373983 , 1492102804.702596 ,              3,              1,              1,              0,              0,              1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              0,              1,              0,              0,              0,              0,              0,              0,              0,              0,              0,            2/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,              0,              0,              0,              0,              0,              0,          65535,          28960,          65535,          28960,              0,              0,          43690,          28960,              0,              0,              0,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,         1344.8,            0.0,              0,              0,              0,              0,
2,192.168.2.3,ec2-50-17-219-135.compute-1.amazonaws.com,39838,443,1492102802.390567 , 1492102806.55169 ,             11,              8,              0,              0,              9,              8,              7,              1,              1,              0,              1,              0,              1,              0,            316,           5869,              2,              5,            316,           5869,              1,              1,              1,              1,              0,              0,              0,              0,              0,              0,              2,              2,            2/0,            2/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              1,              0,              0,              0,              0,              0,           1460,           1460,            190,           1448,            126,            325,            157,           1173,          99200,          30464,          87616,          30464,              0,              0,          93411,          30464,            190,           5869,              1,              5,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          1.312,          0.001,         1335.7,         1027.4,              0,              0,             86,           1602,
3,192.168.2.3,edge-star-shv-01-dft4.facebook.com,50945,443,1492102802.481568 , 1492102806.411324 ,             11,              7,              0,              0,              9,              7,              6,              1,              1,              0,              1,              0,              1,              0,            798,           3751,              3,              4,            798,           3751,              1,              1,              1,              1,              0,              0,              0,              0,              0,              0,              3,              2,            2/0,            2/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              1,              0,              0,              0,              0,              0,           1460,           1410,            488,           1398,            126,            258,            265,            937,          98816,          29184,          87616,          29184,              0,              0,          92906,          29184,            184,           3493,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          1.613,          0.659,         1318.9,          953.6,              0,              0,            203,            955,
4,192.168.2.3,api.braintreegateway.com,46241,443,1492102802.611093 , 1492102806.408856 ,             11,              6,              0,              0,              8,              6,              6,              0,              2,              0,              2,              0,              1,              0,            316,           3453,              2,              3,            316,           3453,              2,              2,              2,              2,              0,              0,              0,              0,              0,              0,              2,              1,            3/0,            3/0,            Y/Y,            Y/Y,              6,              6,              Y,              Y,              2,              0,              0,              0,              0,              0,           1460,           1320,            190,           1448,            126,            557,            157,           1150,          96320,          15552,          87616,          15552,              0,              0,          90880,          15552,            190,           3453,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.631,          0.001,         2000.6,          454.0,              0,              0,             83,            909,
5,192.168.2.3,edge-star-shv-01-dft4.facebook.com,41461,443,1492102803.947979 , 1492102806.278275 ,              8,              6,              0,              0,              6,              6,              5,              1,              1,              0,              1,              0,              1,              0,            184,           3494,              1,              3,            184,           3494,              1,              1,              1,              1,              0,              0,              0,              0,              0,              0,              1,              1,            2/0,            2/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              1,              0,              0,              0,              0,              0,           1460,           1410,            184,           1398,            184,            698,            183,           1164,          96000,          29184,          87616,          29184,              0,              0,          90421,          29184,            184,           3494,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.001,          990.3,          435.8,              0,              0,             79,           1499,
6,192.168.2.3,edge-star-shv-01-dft4.facebook.com,60455,443,1492102803.962921 , 1492102806.280031 ,              8,              6,              0,              0,              6,              6,              5,              1,              1,              0,              1,              0,              1,              0,            184,           3495,              1,              3,            184,           3495,              1,              1,              1,              1,              0,              0,              0,              0,              0,              0,              1,              1,            2/0,            2/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              1,              0,              0,              0,              0,              0,           1460,           1410,            184,           1398,            184,            699,            183,           1164,          96000,          29184,          87616,          29184,              0,              0,          90421,          29184,            184,           3495,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.005,          995.6,          435.8,              0,              0,             79,           1508,
7,192.168.2.3,server-54-230-7-140.dfw3.r.cloudfront.net,53414,443,1492102804.411985 , 1492102806.411864 ,              9,              7,              0,              0,              7,              7,              6,              1,              1,              0,              1,              0,              1,              0,            187,           4545,              1,              4,            187,           4545,              1,              1,              1,              1,              0,              0,              0,              0,              0,              0,              1,              1,            2/0,            2/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              1,              0,              0,              0,              0,              0,           1460,           1460,            187,           1448,            187,            201,            186,           1135,          99200,          30208,          87616,          30208,              0,              0,          91757,          30208,            187,           4545,              1,              4,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.001,         1003.3,          351.6,              0,              0,             94,           2273,
8,192.168.2.3,ec2-54-165-89-63.compute-1.amazonaws.com,38558,443,1492102805.546481 , 1492102806.224008 ,              3,              1,              0,              0,              2,              1,              1,              0,              0,              0,              0,              0,              0,              0,            168,              0,              1,              0,            168,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              0,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            168,              0,            168,              0,            167,              0,          87616,          26847,          87616,          26847,              0,              0,          58410,          26847,            168,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,          661.9,          208.8,              0,              0,            248,              0,
9,server-54-230-7-74.dfw3.r.cloudfront.net,192.168.2.3,443,33311,1492102805.749027 , 1492102805.756662 ,              1,              1,              0,              1,              1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,            1/0,            0/0,            Y/Y,            N/N,              0,              0,              Y,              N,              0,              0,              0,              0,              0,              0,           1460,              0,              0,              0,              0,              0,              0,              0,          28960,              0,          28960,              0,              0,              0,          28960,              0,              0,              0,              0,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,            0.0,            0.0,              0,              0,              0,              0,
