conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,

1,192.168.2.3,server-54-230-7-140.dfw3.r.cloudfront.net,56501,443,1492102293.450096 , 1492102296.728997 ,             11,              8,              0,              0,             10,              8,              7,              1,              0,              0,              0,              0,              0,              0,            721,           5209,              3,              6,            721,           5209,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            408,           1448,            126,            201,            240,            868,         102080,          31232,          87616,          30208,              0,              0,          95436,          30354,            187,           4545,              1,              4,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          1.567,          1.777,         1111.1,         1113.0,              0,              0,            220,           1589,
2,192.168.2.3,edge-star-shv-01-dft4.facebook.com,54983,443,1492102293.566732 , 1492102296.630485 ,             10,              8,              0,              0,              9,              8,              6,              2,              0,              0,              0,              0,              0,              0,            798,           4809,              3,              5,            798,           4809,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1410,            488,           1398,            126,            258,            265,            961,         101632,          30208,          87616,          29184,              0,              0,          94464,          29476,            184,           3495,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          1.449,          1.640,         1209.6,         1248.8,              0,              0,            260,           1570,
3,192.168.2.3,api.braintreegateway.com,33036,443,1492102293.696809 , 1492102296.510844 ,             10,              6,              0,              0,              9,              6,              6,              0,              0,              0,              0,              0,              0,              0,            652,           4589,              3,              5,            652,           4589,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              6,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1320,            336,           1448,            126,            258,            217,            917,         102080,          16640,          87616,          15552,              0,              0,          94698,          15769,            190,           3453,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          1.417,          1.512,         1329.3,         1362.6,              0,              0,            232,           1631,
4,192.168.2.3,ec2-34-205-162-71.compute-1.amazonaws.com,57616,443,1492102294.79324 , 1492102297.540476 ,             10,              8,              0,              0,              9,              8,              6,              2,              0,              0,              0,              0,              0,              0,            594,           5255,              3,              5,            594,           5255,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            300,           1448,            126,             51,            197,           1050,          99200,          29184,          87616,          28160,              0,              0,          94698,          28306,            168,           5204,              1,              4,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          1.862,          1.045,         1257.0,         1036.3,              0,              0,            172,           1518,
5,192.168.2.3,ec2-23-23-96-77.compute-1.amazonaws.com,40689,443,1492102294.219530 , 1492102297.810796 ,             12,              9,              0,              0,             11,              9,              8,              1,              0,              0,              0,              0,              0,              0,           1244,           7172,              3,              7,           1244,           7172,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            928,           1448,            126,             51,            414,           1024,         102080,          32256,          87616,          30464,              0,              0,          95778,          30688,            190,           5792,              1,              4,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          1.882,          2.108,         1071.9,         1189.2,              0,              0,            346,           1997,
6,192.168.2.3,oy-in-f153.1e100.net,37852,443,1492102294.935816 , 1492102297.639720 ,             10,              7,              0,              0,              9,              7,              6,              1,              1,              0,              1,              0,              1,              0,            554,           3906,              3,              4,            554,           3906,              0,              1,              0,              1,              0,              0,              0,              0,              0,              0,              3,              2,            1/0,            2/0,            Y/Y,            Y/Y,              6,              7,              Y,              Y,              1,              0,              0,              0,              0,              0,           1460,           1380,            241,           1418,            126,            262,            184,            976,          98944,          43520,          87616,          43520,              0,              0,          92977,          43520,            187,           2836,              1,              2,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          1.993,          1.105,          991.2,         1013.5,              0,              0,            205,           1445,
7,192.168.2.3,den02s01-in-f3.1e100.net,50622,443,1492102297.730663 , 1492102297.730663 ,              1,              0,              0,              0,              1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,            0/1,            0/0,            N/Y,            N/N,              0,              0,              N,              N,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,           1369,              0,           1369,              0,              0,              0,           1369,              0,              0,              0,              0,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,          109.5,             NA,              0,              0,             NA,             NA,
8,192.168.2.3,ec2-54-243-34-122.compute-1.amazonaws.com,47299,443,1492102297.840134 , 1492102297.840134 ,              1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,            1/0,            0/0,            Y/Y,            N/N,              6,              0,              Y,              N,              0,              0,              0,              0,              0,              0,           1460,              0,              0,              0,              0,              0,              0,              0,          65535,              0,          65535,              0,              0,              0,          65535,              0,              0,              0,              0,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,            0.0,             NA,              0,              0,             NA,             NA,
