conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,

1,192.168.2.3,edge-star-shv-01-dft4.facebook.com,45023,443,1494123245.594498 , 1494123248.244085 ,             10,              8,              0,              0,              9,              8,              6,              2,              0,              0,              0,              0,              0,              0,            733,           4774,              3,              5,            733,           4774,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1410,            423,           1398,            126,            258,            244,            954,         101632,          30208,          87616,          29184,              0,              0,          94464,          29476,            184,           3495,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          2.367,          2.529,         2244.7,         2313.7,              0,              0,            277,           1802,
2,192.168.2.3,65.39.128.135,52205,emwavemsg,1494123247.932117 , 1494123248.767505 ,             50,             47,              0,              0,             48,             47,             46,              1,              6,              0,              0,              0,              1,              0,            286,          61056,              1,             44,            286,          61056,              1,              0,              1,              0,              0,              0,              0,              0,              0,              1,              1,             21,            2/1,            1/1,            Y/Y,            Y/Y,              6,              2,              Y,              Y,              6,              0,              0,              0,              0,              0,           1460,           1460,            286,           1448,            286,             15,            285,           1387,         192960,           4664,          87616,           4664,              0,              0,         136070,           4664,            286,           1673,              1,              2,            286,          61056,              0,              0,              0,              0,              0,              0,          0.000,          0.552,           96.1,          149.1,              0,              0,            342,          73087,
3,192.168.2.3,ec2-52-73-146-10.compute-1.amazonaws.com,43051,443,1494123247.932260 , 1494123248.180706 ,              5,              2,              0,              0,              3,              2,              2,              0,              1,              0,              1,              0,              1,              0,            132,              0,              1,              0,            132,              0,              1,              1,              1,              1,              0,              0,              0,              0,              0,              0,              1,              0,            2/0,            2/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              1,              0,              0,              0,              0,              0,           1460,           1460,            132,              0,            132,              0,            131,              0,          87616,          26847,          87616,          26847,              0,              0,          52569,          26847,            132,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,          586.8,          728.4,              0,              0,            531,              0,
4,192.168.2.3,ec2-34-194-60-73.compute-1.amazonaws.com,38417,443,1494123247.932270 , 1494123248.393280 ,             10,              7,              0,              0,              8,              7,              6,              1,              2,              0,              2,              0,              1,              0,            263,           2702,              2,              4,            263,           3897,              1,              2,              1,           1196,              0,              0,              0,              0,              0,              0,              2,              3,            2/0,            2/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              2,              0,              0,              0,              0,              0,           1460,           1460,            134,           1448,            129,             59,            131,            974,          93440,          29184,          87616,          28160,              0,              0,          90888,          28364,            129,           2643,              1,              2,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.210,          0.071,          374.2,          375.1,              0,              0,            570,           5861,
5,192.168.2.3,ec2-34-194-60-73.compute-1.amazonaws.com,38418,443,1494123247.932272 , 1494123248.237219 ,              5,              2,              0,              0,              3,              2,              2,              0,              1,              0,              1,              0,              1,              0,            129,              0,              1,              0,            129,              0,              1,              1,              1,              1,              0,              0,              0,              0,              0,              0,              1,              0,            2/0,            2/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              1,              0,              0,              0,              0,              0,           1460,           1460,            129,              0,            129,              0,            128,              0,          87616,          26847,          87616,          26847,              0,              0,          52569,          26847,            129,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,          530.3,          728.3,              0,              0,            423,              0,
6,192.168.2.3,ec2-34-194-60-73.compute-1.amazonaws.com,38419,443,1494123247.932274 , 1494123248.503850 ,              9,              6,              0,              0,              7,              6,              5,              1,              1,              0,              1,              0,              1,              0,            263,           2702,              2,              3,            263,           2702,              1,              1,              1,              1,              0,              0,              0,              0,              0,              0,              2,              2,            2/0,            2/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              1,              0,              0,              0,              0,              0,           1460,           1460,            134,           1448,            129,             59,            131,            900,          93440,          29184,          87616,          28160,              0,              0,          90523,          28416,            129,           2643,              1,              2,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.097,          0.078,          263.7,          348.6,              0,              0,            460,           4727,
