conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,

1,192.168.2.3,edge-star-shv-01-dft4.facebook.com,37874,443,1494123040.617948 , 1494123043.224328 ,             10,              8,              0,              0,              9,              8,              6,              2,              0,              0,              0,              0,              0,              0,            733,           4774,              3,              5,            733,           4774,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1410,            423,           1398,            126,            258,            244,            954,         101632,          30208,          87616,          29184,              0,              0,          94464,          29476,            184,           1398,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          2.319,          2.482,         2243.1,         2277.2,              0,              0,            281,           1832,
2,192.168.2.3,server-54-230-7-116.dfw3.r.cloudfront.net,44351,emwavemsg,1494123040.728307 , 1494123044.463498 ,             35,             53,              0,              0,             35,             53,             33,              1,             12,              1,              0,              1,              1,              1,            286,          41565,              2,             52,            572,          51572,              1,             11,            286,          10007,              0,              0,              0,              0,              0,              0,              2,              4,            0/0,            0/0,            N/Y,            N/Y,              0,              0,              N,              N,             12,              1,              0,              0,              0,              0,              0,              0,            286,           1024,            286,            605,            285,            991,           6150,            130,           6150,            130,              0,              0,           6150,            130,            286,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          3.207,          3.677,         3207.5,         1705.2,              0,              0,             77,          11128,
3,192.168.2.3,ec2-52-202-7-20.compute-1.amazonaws.com,47199,443,1494123042.953957 , 1494123043.381571 ,              9,              6,              0,              0,              7,              6,              5,              1,              1,              0,              1,              0,              1,              0,            266,           2702,              2,              3,            266,           2702,              1,              1,              1,              1,              0,              0,              0,              0,              0,              0,              2,              2,            2/0,            2/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              1,              0,              0,              0,              0,              0,           1460,           1460,            134,           1448,            132,             59,            132,            900,          93440,          29184,          87616,          28160,              0,              0,          90523,          28416,            132,           2643,              1,              2,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.185,          0.185,         1081.9,         1082.7,              0,              0,            622,           6319,
4,192.168.2.3,ec2-52-71-76-22.compute-1.amazonaws.com,57294,443,1494123042.983991 , 1494123043.395979 ,              7,              5,              0,              0,              6,              5,              4,              1,              0,              0,              0,              0,              0,              0,            263,           2702,              2,              3,            263,           2702,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              2,              2,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            134,           1448,            129,             59,            131,            900,          93440,          29184,          87616,          28160,              0,              0,          91008,          28416,            129,           2643,              1,              2,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.139,          0.142,         1067.5,         1068.3,              0,              0,            638,           6558,
5,192.168.2.3,ec2-52-71-76-22.compute-1.amazonaws.com,57295,443,1494123042.986248 , 1494123043.423788 ,              7,              5,              0,              0,              6,              5,              4,              1,              0,              0,              0,              0,              0,              0,            263,           2702,              2,              3,            263,           2702,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              2,              2,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            134,           1448,            129,             59,            131,            900,          93440,          29184,          87616,          28160,              0,              0,          91008,          28416,            129,           2643,              1,              2,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.085,          0.073,         1039.7,         1073.7,              0,              0,            601,           6175,
6,192.168.2.3,ec2-52-71-76-22.compute-1.amazonaws.com,57296,443,1494123042.989823 , 1494123043.493754 ,              7,              5,              0,              0,              6,              5,              4,              1,              0,              0,              0,              0,              0,              0,            263,           2702,              2,              3,            263,           2702,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              2,              2,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            134,           1448,            129,             59,            131,            900,          93440,          29184,          87616,          28160,              0,              0,          91008,          28416,            129,           1448,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.091,          0.081,          969.7,         1005.5,              0,              0,            522,           5362,
