conn ,host a,host b,port a,port b,first packet,last packet,total packets a2b,total packets b2a,resets sent a2b,resets sent b2a,ack pkts sent a2b,ack pkts sent b2a,pure acks sent a2b,pure acks sent b2a,sack pkts sent a2b,sack pkts sent b2a,dsack pkts sent a2b,dsack pkts sent b2a,max sack blks/ack a2b,max sack blks/ack b2a,unique bytes sent a2b,unique bytes sent b2a,actual data pkts a2b,actual data pkts b2a,actual data bytes a2b,actual data bytes b2a,rexmt data pkts a2b,rexmt data pkts b2a,rexmt data bytes a2b,rexmt data bytes b2a,zwnd probe pkts a2b,zwnd probe pkts b2a,zwnd probe bytes a2b,zwnd probe bytes b2a,outoforder pkts a2b,outoforder pkts b2a,pushed data pkts a2b,pushed data pkts b2a,SYN/FIN pkts sent a2b,SYN/FIN pkts sent b2a,req 1323 ws/ts a2b,req 1323 ws/ts b2a,adv wind scale a2b,adv wind scale b2a,req sack a2b,req sack b2a,sacks sent a2b,sacks sent b2a,urgent data pkts a2b,urgent data pkts b2a,urgent data bytes a2b,urgent data bytes b2a,mss requested a2b,mss requested b2a,max segm size a2b,max segm size b2a,min segm size a2b,min segm size b2a,avg segm size a2b,avg segm size b2a,max win adv a2b,max win adv b2a,min win adv a2b,min win adv b2a,zero win adv a2b,zero win adv b2a,avg win adv a2b,avg win adv b2a,initial window bytes a2b,initial window bytes b2a,initial window pkts a2b,initial window pkts b2a,ttl stream length a2b,ttl stream length b2a,missed data a2b,missed data b2a,truncated data a2b,truncated data b2a,truncated packets a2b,truncated packets b2a,data xmit time a2b,data xmit time b2a,idletime max a2b,idletime max b2a,hardware dups a2b,hardware dups b2a,throughput a2b,throughput b2a,

1,192.168.2.3,edge-z-m-mini-shv-01-ort2.facebook.com,59014,443,1492052836.43643 , 1492052836.197382 ,              8,              7,              0,              0,              7,              7,              3,              2,              0,              0,              0,              0,              0,              0,           1403,           1206,              4,              4,           1403,           1206,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1410,            899,            928,             38,             51,            350,            301,          89472,          30976,          87616,          29184,              0,              0,          87881,          30080,            415,            146,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.057,          0.050,        14407.8,        14362.5,              0,              0,           9126,           7844,
2,192.168.2.3,io-in-f103.1e100.net,46702,443,1492052840.177851 , 1492052840.270306 ,              9,              9,              0,              0,              8,              9,              5,              1,              0,              0,              0,              0,              0,              0,            781,           4358,              3,              7,            781,           4358,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              5,            1/0,            1/0,            Y/Y,            Y/Y,              6,              7,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1380,            504,           1418,             85,             26,            260,            622,         101824,          44672,          87616,          43520,              0,              0,          94008,          43952,            192,           3483,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.052,          0.050,        10289.5,        10291.1,              0,              0,           8447,          47136,
