conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,

1,192.168.2.3,ec2-54-225-235-202.compute-1.amazonaws.com,32936,443,1492097667.508126 , 1492097667.792024 ,             12,             10,              0,              0,             11,             10,              8,              2,              0,              0,              0,              0,              0,              0,           1617,           6089,              3,              7,           1617,           6089,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1308,           1448,            126,             51,            538,            869,          99200,          33792,          87616,          15872,              0,              0,          95517,          19854,            183,           5869,              1,              5,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.147,          0.149,          654.6,          689.8,              0,              0,           5696,          21448,
2,192.168.2.3,151.101.52.116,58917,443,1492097667.776101 , 1492097668.182028 ,             12,              9,              0,              0,             11,              9,              6,              2,              0,              0,              0,              0,              0,              0,           1801,           5677,              5,              6,           1801,           5677,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              5,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              9,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1072,           1448,             74,             51,            360,            946,         102080,          34816,          87616,          30208,              0,              0,          95778,          31936,            164,           4693,              1,              4,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.162,          0.259,          264.6,          305.6,              0,              0,           4437,          13985,
3,192.168.2.3,server-54-230-123-143.dfw50.r.cloudfront.net,37243,443,1492097667.951784 , 1492097668.271971 ,              9,              8,              0,              0,              8,              8,              5,              2,              0,              0,              0,              0,              0,              0,           1277,           4946,              3,              5,           1277,           4946,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            972,           1448,            126,            242,            425,            989,         102080,          32000,          87616,          30208,              0,              0,          94136,          30720,            179,           3893,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.079,          0.232,          216.8,          210.5,              0,              0,           3988,          15447,
4,192.168.2.3,151.101.52.116,55293,443,1492097667.964325 , 1492097668.342085 ,             10,              8,              0,              0,              9,              8,              6,              1,              0,              0,              0,              0,              0,              0,           1023,           5877,              3,              6,           1023,           5877,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              9,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            701,           1448,            126,             51,            340,            979,         102080,          31744,          87616,          30208,              0,              0,          95018,          30646,            196,           4693,              1,              4,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.153,          0.220,          171.0,          142.2,              0,              0,           2708,          15557,
5,192.168.2.3,151.101.52.116,41572,443,1492097667.964342 , 1492097668.331961 ,             11,             10,              0,              0,             10,             10,              7,              1,              0,              0,              0,              0,              0,              0,           1046,           7602,              3,              8,           1046,           7602,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              9,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            724,           1448,            126,             51,            348,            950,         105024,          31744,          87616,          30208,              0,              0,          96313,          30890,            196,           4693,              1,              4,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.153,          0.224,          123.9,          152.1,              0,              0,           2845,          20679,
6,192.168.2.3,a23-204-73-40.deploy.static.akamaitechnologies.com,38943,443,1492097668.267221 , 1492097668.446660 ,             12,             11,              2,              1,             10,             10,              5,              1,              0,              0,              0,              0,              0,              0,           1421,           5532,              4,              7,           1421,           5532,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              5,            1/0,            1/1,            Y/Y,            Y/Y,              6,              5,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1074,           1448,             31,             31,            355,            790,          99200,          32192,          87616,          30048,              0,              0,          77480,          27686,            190,           2896,              1,              2,             NA,           5501,             NA,18446744073709551585,              0,              0,              0,              0,          0.123,          0.095,           31.8,           60.2,              0,              0,           7919,          30829,
