conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,

1,192.168.2.3,ec2-54-235-186-187.compute-1.amazonaws.com,44844,443,1492097715.766090 , 1492097716.61859 ,             12,             10,              0,              0,             11,             10,              8,              2,              0,              0,              0,              0,              0,              0,           1618,           6089,              3,              7,           1618,           6089,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1309,           1448,            126,             51,            539,            869,          99200,          33792,          87616,          15872,              0,              0,          95517,          19854,            183,           5869,              1,              5,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.156,          0.155,          618.6,          655.9,              0,              0,           5470,          20587,
2,192.168.2.3,151.101.52.116,60835,443,1492097716.79423 , 1492097716.481958 ,             13,              9,              0,              0,             12,              9,              7,              2,              0,              0,              0,              0,              0,              0,           1799,           5676,              5,              6,           1799,           5676,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              5,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              9,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1068,           1448,             74,             51,            359,            945,         102080,          34304,          87616,          30208,              0,              0,          96064,          31744,            164,           4693,              1,              4,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.163,          0.260,          198.5,          234.3,              0,              0,           4469,          14101,
3,192.168.2.3,server-54-230-123-143.dfw50.r.cloudfront.net,37488,443,1492097716.181716 , 1492097716.502207 ,              9,              8,              0,              0,              8,              8,              5,              2,              0,              0,              0,              0,              0,              0,           1277,           4946,              3,              5,           1277,           4946,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            972,           1448,            126,            242,            425,            989,         102080,          32000,          87616,          30208,              0,              0,          94136,          30720,            179,           2896,              1,              2,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.072,          0.234,          224.8,          216.5,              0,              0,           3985,          15433,
4,192.168.2.3,151.101.52.116,47062,443,1492097716.207640 , 1492097716.617555 ,             11,              9,              0,              0,             10,              9,              7,              1,              0,              0,              0,              0,              0,              0,            953,           5993,              3,              7,            953,           5993,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              9,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            663,           1448,            126,             31,            317,            856,         102080,          31744,          87616,          30208,              0,              0,          95436,          30784,            164,           4693,              1,              4,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.151,          0.303,          205.9,          116.7,              0,              0,           2325,          14620,
5,192.168.2.3,151.101.52.116,59617,443,1492097716.207718 , 1492097716.561800 ,             11,             10,              0,              0,             10,             10,              7,              1,              0,              0,              0,              0,              0,              0,            972,           7658,              3,              8,            972,           7658,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              9,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            682,           1448,            126,             51,            323,            957,         105024,          31744,          87616,          30208,              0,              0,          96313,          30890,            164,           4693,              1,              4,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.147,          0.214,          120.0,          153.7,              0,              0,           2745,          21628,
6,192.168.2.3,a23-204-73-40.deploy.static.akamaitechnologies.com,34188,443,1492097716.499126 , 1492097716.680411 ,             12,             11,              1,              1,             11,             10,              6,              1,              0,              0,              0,              0,              0,              0,           1427,           5532,              4,              7,           1427,           5532,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              5,            1/0,            1/1,            Y/Y,            Y/Y,              6,              5,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1080,           1448,             31,             31,            356,            790,          99200,          32192,          87616,          30048,              0,              0,          86498,          27686,            190,           4096,              1,              3,             NA,           5533,             NA,              1,              0,              0,              0,              0,          0.124,          0.096,           34.5,           63.0,              0,              0,           7872,          30515,
