conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,



1,192.168.2.3,ec2-52-202-192-164.compute-1.amazonaws.com,50688,443,1492061164.541703 , 1492061169.286350 ,              3,              2,              0,              0,              3,              2,              1,              1,              0,              1,              0,              1,              0,              1,            385,            220,              2,              1,            770,            220,              1,              0,            385,              0,              0,              0,              0,              0,              0,              0,              2,              1,            0/0,            0/0,            N/Y,            N/Y,              0,              0,              N,              N,              0,              1,              0,              0,              0,              0,              0,              0,            385,            220,            385,            220,            384,            219,           1541,             83,           1541,             83,              0,              0,           1541,             83,            385,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.490,          0.000,         4210.2,          490.1,              0,              0,             81,             46,

2,192.168.2.3,ec2-52-202-192-164.compute-1.amazonaws.com,60705,443,1492061164.541722 , 1492061169.246112 ,              3,              2,              0,              0,              3,              2,              1,              1,              0,              1,              0,              1,              0,              1,            385,            220,              2,              1,            770,            220,              1,              0,            385,              0,              0,              0,              0,              0,              0,              0,              2,              1,            0/0,            0/0,            N/Y,            N/Y,              0,              0,              N,              N,              0,              1,              0,              0,              0,              0,              0,              0,            385,            220,            385,            220,            384,            219,           1541,             83,           1541,             83,              0,              0,           1541,             83,            385,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.450,          0.000,         4210.1,          449.8,              0,              0,             82,             47,

3,192.168.2.3,ec2-54-243-107-247.compute-1.amazonaws.com,42025,443,1492061165.44458 , 1492061168.799704 ,              4,             10,              0,              0,              3,             10,              1,              2,              0,              1,              0,              1,              0,              1,            183,           4857,              2,              7,            366,           5869,              1,              1,            183,           1012,              0,              0,              0,              0,              0,              0,              2,              2,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              1,              0,              0,              0,              0,           1460,           1386,            183,           1012,            183,             48,            182,            838,          87616,          11520,          87616,          11520,              0,              0,          87616,          11520,            183,           4857,              1,              6,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          3.195,          1.997,         3194.6,         1894.0,              0,              0,             49,           1293,

4,192.168.2.3,104.36.194.148,35881,443,1492061165.562777 , 1492061168.799709 ,              5,              4,              0,              0,              2,              4,              1,              0,              0,              0,              0,              0,              0,              0,            186,              0,              1,              0,            186,              0,              2,              3,              2,              3,              0,              0,              0,              0,              0,              0,              1,              0,            3/0,            4/0,            Y/Y,            Y/Y,              6,              7,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1386,            186,              0,            186,              0,            185,              0,          87616,          28960,          87616,          28960,              0,              0,          35046,          28960,            186,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,         3189.0,         1998.1,              0,              0,             57,              0,
