conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,

1,192.168.2.3,ec2-23-21-57-50.compute-1.amazonaws.com,45310,443,1494133164.854413 , 1494133165.258330 ,             12,             10,              0,              0,             11,             10,              8,              2,              0,              0,              0,              0,              0,              0,           1517,           6089,              3,              7,           1517,           6089,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1208,           1448,            126,             51,            505,            869,          99200,          33792,          87616,          15872,              0,              0,          95517,          19854,            183,           1448,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.214,          0.213,         2982.6,         3021.0,              0,              0,           3756,          15075,
2,192.168.2.3,104.36.194.186,48332,443,1494133165.386338 , 1494133166.168512 ,             28,             42,              0,              0,             27,             42,             22,              4,              0,              0,              0,              0,              0,              0,           2577,          47437,              5,             37,           2577,          47437,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              5,              6,            1/0,            1/0,            Y/Y,            Y/Y,              6,              7,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1219,           1448,             53,             38,            515,           1282,         186112,          34560,          87616,          30080,              0,              0,         124207,          32786,            186,           2896,              1,              2,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.585,          0.635,         2072.4,         2077.2,              0,              0,           3295,          60648,
3,192.168.2.3,104.36.194.186,57653,443,1494133165.620529 , 1494133165.996566 ,             10,              8,              0,              0,              9,              8,              4,              2,              0,              0,              0,              0,              0,              0,           3122,            482,              5,              5,           3122,            482,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              5,            1/0,            1/0,            Y/Y,            Y/Y,              6,              7,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1448,            187,             38,             38,            624,             96,          87616,          35840,          87616,          30080,              0,              0,          87616,          32969,            517,            146,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.194,          0.121,         2311.6,         2244.3,              0,              0,           8302,           1282,
4,192.168.2.3,api.braintreegateway.com,44869,443,1494133165.698604 , 1494133165.978204 ,             11,              7,              0,              0,             10,              7,              7,              0,              0,              0,              0,              0,              0,              0,            665,           6358,              3,              6,            665,           6358,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              6,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1320,            337,           1448,            126,            258,            221,           1059,         102080,          16640,          87616,          15552,              0,              0,          95436,          15733,            202,           1448,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.140,          0.135,         2262.7,         2303.2,              0,              0,           2378,          22740,
5,192.168.2.3,ec2-52-8-218-223.us-west-1.compute.amazonaws.com,40808,443,1494133165.818971 , 1494133166.98302 ,             12,              9,              0,              0,             11,              9,              7,              2,              0,              0,              0,              0,              0,              0,           2137,           5885,              4,              6,           2137,           5885,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1448,           1448,            126,             51,            534,            980,         102080,          31744,          87616,          28160,              0,              0,          95778,          29056,            207,           1448,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.143,          0.136,         2142.6,         2177.1,              0,              0,           7650,          21068,
